kmage;miles;priceRUB;priceUSD;vol;power;fuel
37723;23388;1849000;25156,5;1,4;150;Бензин
120000;74400;670000;9115,6;1,4;150;Бензин
0;0;2514900;34216,3;2,0;180;Бензин
0;0;2598300;35351,0;2,0;180;Бензин
0;0;2745600;37355,1;2,0;180;Бензин
0;0;2214900;30134,7;1,4;150;Бензин
0;0;2894000;39374,2;2,0;180;Бензин
0;0;2495900;33957,8;2,0;180;Бензин
130166;80703;1759000;23932,0;2,0;180;Бензин
143385;88899;625000;8503,4;2,0;170;Бензин
193000;119660;565000;7687,1;2,0;170;Бензин
110000;68200;1900000;25850,3;2,0;150;Дизель
46000;28520;1640000;22312,9;1,4;125;Бензин
100000;62000;870000;11836,7;2,0;170;Бензин
192000;119040;539000;7333,3;1,4;150;Бензин
101671;63036;785000;10680,3;1,4;150;Бензин
119890;74332;1345000;18299,3;2,0;170;Бензин
133242;82610;1949000;26517,0;2,0;150;Дизель
77750;48205;2080000;28299,3;2,0;180;Бензин
0;0;1712900;23304,8;1,4;125;Бензин
250000;155000;650000;8843,5;2,0;170;Бензин
131000;81220;920000;12517,0;2,0;170;Бензин
111000;68820;1348000;18340,1;2,0;140;Дизель
86022;53334;960000;13061,2;1,4;150;Бензин
0;0;1812900;24665,3;1,4;125;Бензин
10158;6298;1685000;22925,2;1,4;125;Бензин
194684;120704;660000;8979,6;1,4;122;Бензин
11956;7413;2035000;27687,1;1,4;150;Бензин
66575;41276;2080000;28299,3;2,0;180;Бензин
0;0;1623900;22093,9;1,4;125;Бензин
0;0;1838900;25019,0;1,4;150;Бензин
128726;79810;1080000;14693,9;2,0;170;Бензин
48000;29760;1435000;19523,8;2,0;170;Бензин
40000;24800;2265000;30816,3;2,0;220;Бензин
0;0;1793900;24406,8;1,4;125;Бензин
121778;75502;579000;7877,6;1,4;150;Бензин
174479;108177;1078000;14666,7;2,0;140;Дизель
0;0;1818100;24736,0;1,4;150;Бензин
74000;45880;1800000;24489,8;2,0;150;Дизель
182416;113098;789000;10734,7;1,4;150;Бензин
0;0;2058900;28012,2;1,4;150;Бензин
120000;74400;1750000;23809,5;2,0;180;Бензин
97800;60636;1165000;15850,3;2,0;200;Бензин
39123;24256;1630000;22176,9;1,4;150;Бензин
70081;43450;1090000;14829,9;2,0;200;Бензин
40864;25336;1575000;21428,6;1,4;125;Бензин
60550;37541;1749000;23795,9;1,4;150;Бензин
0;0;1818100;24736,0;1,4;150;Бензин
170000;105400;1390000;18911,6;1,4;150;Бензин
176000;109120;999000;13591,8;2,0;140;Дизель
68000;42160;1799000;24476,2;2,0;150;Дизель
102300;63426;1896000;25795,9;2,0;220;Бензин
155188;96217;835000;11360,5;2,0;170;Бензин
63140;39147;899000;12231,3;1,4;150;Бензин
160436;99470;769000;10462,6;1,4;122;Бензин
149584;92742;932000;12680,3;2,0;140;Дизель
93000;57660;1270000;17278,9;2,0;170;Бензин
116000;71920;1390000;18911,6;2,0;170;Бензин
17363;10765;2250000;30612,2;2,0;180;Бензин
26700;16554;2050000;27891,2;1,4;150;Бензин
0;0;1609900;21903,4;1,4;125;Бензин
0;0;1672900;22760,5;1,4;125;Бензин
87214;54073;2097925;28543,2;2,0;220;Бензин
159452;98860;745000;10136,0;1,4;150;Бензин
122056;75675;1879000;25564,6;2,0;180;Бензин
20175;12508;2135000;29047,6;1,4;150;Бензин
61156;37917;2089000;28421,8;2,0;150;Дизель
139000;86180;1856000;25251,7;2,0;180;Бензин
0;0;1798900;24474,8;1,4;150;Бензин
41000;25420;1790000;24353,7;1,4;150;Бензин
